,Date,DailyOrHourly,VehicleType,Hour,Volume,DelayPersonHours,DelayCost,DelayVehicleHours,VMT
0,2020-07-01,daily,commercial,,31817.7,0.0,0.0,0.0,24418.255165
1,2020-07-01,daily,passenger,,286359.3,0.0,0.0,0.0,219764.296481
2,2020-07-01,hourly,commercial,0.0,326.0,0.0,0.0,0.0,248.804696
3,2020-07-01,hourly,passenger,0.0,2934.0,0.0,0.0,0.0,2239.242265
4,2020-07-01,hourly,commercial,1.0,283.1,0.0,0.0,0.0,216.282944
5,2020-07-01,hourly,passenger,1.0,2547.9,0.0,0.0,0.0,1946.546496
6,2020-07-01,hourly,commercial,2.0,278.3,0.0,0.0,0.0,212.568047
7,2020-07-01,hourly,passenger,2.0,2504.7,0.0,0.0,0.0,1913.112419
8,2020-07-01,hourly,commercial,3.0,343.6,0.0,0.0,0.0,260.542112
9,2020-07-01,hourly,passenger,3.0,3092.4,0.0,0.0,0.0,2344.879012
10,2020-07-01,hourly,commercial,4.0,574.8,0.0,0.0,0.0,432.567414
11,2020-07-01,hourly,passenger,4.0,5173.2,0.0,0.0,0.0,3893.106727
12,2020-07-01,hourly,commercial,5.0,1071.6,0.0,0.0,0.0,811.166135
13,2020-07-01,hourly,passenger,5.0,9644.4,0.0,0.0,0.0,7300.495215
14,2020-07-01,hourly,commercial,6.0,1772.4,0.0,0.0,0.0,1361.572507
15,2020-07-01,hourly,passenger,6.0,15951.6,0.0,0.0,0.0,12254.152562
16,2020-07-01,hourly,commercial,7.0,2055.5,0.0,0.0,0.0,1588.133727
17,2020-07-01,hourly,passenger,7.0,18499.5,0.0,0.0,0.0,14293.203543
18,2020-07-01,hourly,commercial,8.0,1839.4,0.0,0.0,0.0,1419.087039
19,2020-07-01,hourly,passenger,8.0,16554.6,0.0,0.0,0.0,12771.783352
20,2020-07-01,hourly,commercial,9.0,1664.4,0.0,0.0,0.0,1280.716589
21,2020-07-01,hourly,passenger,9.0,14979.6,0.0,0.0,0.0,11526.449304
22,2020-07-01,hourly,commercial,10.0,1669.0,0.0,0.0,0.0,1283.631001
23,2020-07-01,hourly,passenger,10.0,15021.0,0.0,0.0,0.0,11552.679008
24,2020-07-01,hourly,commercial,11.0,1771.4,0.0,0.0,0.0,1362.147318
25,2020-07-01,hourly,passenger,11.0,15942.6,0.0,0.0,0.0,12259.325861
26,2020-07-01,hourly,commercial,12.0,1825.3,0.0,0.0,0.0,1402.697256
27,2020-07-01,hourly,passenger,12.0,16427.7,0.0,0.0,0.0,12624.275308
28,2020-07-01,hourly,commercial,13.0,1852.6,0.0,0.0,0.0,1422.862312
29,2020-07-01,hourly,passenger,13.0,16673.4,0.0,0.0,0.0,12805.760804
30,2020-07-01,hourly,commercial,14.0,1966.3,0.0,0.0,0.0,1510.601414
31,2020-07-01,hourly,passenger,14.0,17696.7,0.0,0.0,0.0,13595.412721
32,2020-07-01,hourly,commercial,15.0,2082.8,0.0,0.0,0.0,1600.6746
33,2020-07-01,hourly,passenger,15.0,18745.2,0.0,0.0,0.0,14406.071396
34,2020-07-01,hourly,commercial,16.0,2133.4,0.0,0.0,0.0,1640.707652
35,2020-07-01,hourly,passenger,16.0,19200.6,0.0,0.0,0.0,14766.368867
36,2020-07-01,hourly,commercial,17.0,2052.1,0.0,0.0,0.0,1579.568938
37,2020-07-01,hourly,passenger,17.0,18468.9,0.0,0.0,0.0,14216.120445
38,2020-07-01,hourly,commercial,18.0,1713.9,0.0,0.0,0.0,1317.130212
39,2020-07-01,hourly,passenger,18.0,15425.1,0.0,0.0,0.0,11854.171911
40,2020-07-01,hourly,commercial,19.0,1414.5,0.0,0.0,0.0,1082.982568
41,2020-07-01,hourly,passenger,19.0,12730.5,0.0,0.0,0.0,9746.843108
42,2020-07-01,hourly,commercial,20.0,1164.7,0.0,0.0,0.0,889.443615
43,2020-07-01,hourly,passenger,20.0,10482.3,0.0,0.0,0.0,8004.992537
44,2020-07-01,hourly,commercial,21.0,885.6,0.0,0.0,0.0,674.510827
